,ID,Name,Market,Category,Capital,PER,EPS,ROE,PBR,BPS,Group_PER,Revenue,Operating_Income,Net_Income,Dividend,Debt,Debt_continuous,Retention,Retention_Continuous,Open,High,Low,Close,DaytoDay,Volume,Highest_Price,Highest_Date,update_date,Group
106,2230,피에스텍,KOSDAQ,전기제품,862,15.84,-12,4.59,0.64,8063,71.87,174,4,-2,2.92,16.19,2,1412.33,4,4270,4380,4250,4380,90,4141,6800,2021-07-19,2022-05-13 6:45,0
107,2240,고려제강,KOSPI,철강,6509,3.45,1381,9.0,0.29,66447,4.1,4817,264,338,1.54,51.04,5,6502.26,4,27350,28650,27300,28300,950,234526,33300,2021-09-24,2022-05-13 6:45,0
108,2270,롯데푸드,KOSPI,식품,3960,-385.28,-27196,-0.14,0.43,796390,11.83,2498,-91,-329,2.9,61.76,1,17630.1,1,321000,328000,319500,327500,6000,831,488000,2019-06-20,2022-05-13 6:45,0
109,2290,삼일기업공사,KOSDAQ,건설,561,18.04,63,4.84,0.86,4976,7.5,230,9,8,2.33,18.7,1,895.23,3,4595,4600,4465,4525,45,107703,11900,2021-07-02,2022-05-13 6:45,0
110,2310,아세아제지,KOSPI,포장재,3766,5.18,1935,13.5,0.66,79766,13.99,2634,141,173,1.71,35.72,4,1495.91,5,42500,42850,41850,42050,400,25953,61000,2021-05-17,2022-05-13 6:45,0
111,2320,한진,KOSPI,항공화물운송과물류,4776,2.83,-3039,13.71,0.36,84534,11.06,7017,251,-449,1.99,182.22,1,1217.04,1,31600,32000,31450,31950,250,18610,45600,2020-11-16,2022-05-13 6:45,0
112,2350,넥센타이어,KOSPI,자동차부품,6339,147.46,-265,0.31,0.44,15543,12.71,5452,-226,-279,1.54,138.97,1,2752.95,1,6430,6600,6320,6490,220,256575,11400,2021-06-29,2022-05-13 6:45,0
113,2355,넥센타이어1우B,KOSPI,자동차부품,209,147.46,-265,0.31,0.44,15543,12.71,5452,-226,-279,3.37,138.97,1,2752.95,1,3135,3285,3135,3215,10,4623,4135,2019-05-22,2022-05-13 6:45,0
114,2360,SH에너지화학,KOSPI,화학,1300,173.91,1,0.69,1.17,835,8.16,406,1,1,1.03,30.4,3,66.96,3,1210,1220,1145,1170,35,4435500,1780,2022-05-02,2022-05-13 6:45,0
115,2380,KCC,KOSPI,건축자재,30214,-61.15,-20775,-0.92,0.48,657509,21.9,15097,744,-2322,2.22,139.56,2,10879.4,1,344000,344000,336000,340000,4000,27480,477000,2021-09-14,2022-05-13 6:45,0
116,2390,한독,KOSPI,제약,2815,95.24,41,0.86,0.82,27900,80.45,1398,64,6,1.53,119.16,1,5321.32,2,20550,20550,20200,20450,200,21066,29950,2020-08-05,2022-05-13 6:45,0
117,2450,삼익악기,KOSPI,레저용장비와제품,1494,6.72,-360,10.29,0.59,3079,5.61,861,63,-332,2.74,130.52,1,511.75,1,1615,1650,1615,1650,35,87449,2075,2019-07-09,2022-05-13 6:46,0
118,2460,화성산업,KOSPI,건설,2839,5.25,1034,7.37,0.37,34410,7.5,1513,181,128,7.94,93.77,1,591.71,4,22900,23050,22500,22800,150,121555,34350,2022-03-25,2022-05-13 6:46,0
119,2600,조흥,KOSPI,식품,1152,7.02,4167,11.52,0.77,242899,11.83,691,34,25,3.46,83.59,1,4757.98,5,192000,193500,191500,192000,1000,25,234500,2022-04-25,2022-05-13 6:46,0
120,2620,제일파마홀딩스,KOSPI,제약,1917,-73.39,-462,-0.85,0.6,26821,80.45,1846,-90,-162,0.41,78.37,1,4607.93,1,11950,12050,11650,12000,200,8071,26700,2020-11-11,2022-05-13 6:46,0
121,2690,동일제강,KOSPI,철강,865,6.0,63,5.82,0.37,7761,4.11,496,4,12,0.7,17.56,2,1397.9,1,4345,4500,4235,4260,175,1120681,5320,2021-05-11,2022-05-12 6:46,0
